ID,CATEGORY,LINK,NAME ,DESCRIPTION,COMPANY,IMAGE
11,Accounting and Finance,https://www.jobstreet.com.my/en/job/junior-account-executive-assistant-4779809?jobId=jobstreet-my-job-4779809&sectionRank=1&token=0~4a097b52-c278-499e-bf8a-f9a3cf4fd096&fr=SRP%20Job%20Listing,Senior Account Executive,"Job Description:Data Entry to ensure all the financial information is accurately capture in the accounting system.Preparation of Bank Reconciliation, AR and AP aging, Fixed Assets Schedule.Payroll preparation.Coordinate and request documentation with clients to ensure assignment can be done on time.Liaise with Auditors, Tax Agent & Company Secretary to ensure various statutory deadline is met.Advise client on matters pertaining operational such as documentation, payroll related and etc.Attend to clients need to seek for approval from Team Lead before proceed any request if it deem to be time consuming and outside our scope to ensure fees is being agreed upon prior to service perform.Assist Team Lead in process improvement to improve the productivity and efficiency of the firm.Guiding Junior whenever they need helps.","CHIA, KA & PARTNERS PLT",
12,Accounting and Finance,https://www.jobstreet.com.my/en/job/account-executive-4778324?jobId=jobstreet-my-job-4778324&sectionRank=1&token=0~2918758c-4303-4808-aa4d-01e06b1e3e02&fr=SRP%20Job%20Listing,Account Executive ,"Job Description:handle full set of accounts.prepare month-end reconciliations.assist in tax planning & cash flow planning.liaise with auditors, tax agent, banker, lawyer and other related parties.filing of 7F report to KPKT.handle ad-hoc tasks assigned by the management team.good knowledge in taxation and GST.",MILAN PROPERTIES SDN. BHD.,
13,Accounting and Finance,https://www.jobstreet.com.my/en/job/finance-executive-4777704?jobId=jobstreet-my-job-4777704&sectionRank=1&token=0~03a1876e-99f8-495d-a1fb-b32e9cc08bf1&fr=SRP%20Job%20Listing,Finance Executive ,"Job Description:Responsible for maintaining the Accounts receivable, collection, preparing aging report, customer aging reports and other related reports that need to be well verse with P&L and Balance sheet.Responsible for maintaining the Accounts payables, payment processing, vendor reconciliation, and other related reports that need to be well verse with P&L and Balance sheet.Ensure accuracy, timeliness, and efficiency of billings according to SOPReconciled cash account to bank statements and general ledger balance.Ensure Company’s compliance to the Group and statutory requirements.Ensure internal controls are complying and avoidance of future errorsPartner with other department and provide support such as finance related training or induction.Lead and continuously improve processes and systems within the Company; challenge status quo.",Global Educare Sdn Bhd,
14,Accounting and Finance,https://www.jobstreet.com.my/en/job/treasury-assistant-manager-4779874?jobId=jobstreet-my-job-4779874&sectionRank=2&token=0~50174453-547d-4860-84c2-fe65ea2d7923&fr=SRP%20Job%20Listing,Treasury Assistant Manager ,"Roles & Responsibilities:Assist in the preparation of monthly and weekly cashflows.Maintains mutual relationship with inter-department and external bankers.Liaise with bank officers and each company in carrying out works assigned, ie application on bank financing such as bank guarantee, letter of credit, invoice financing etc.Monitoring of daily collection/fund placement, plan out bank facilities requirements/repayment apply and review of bank facilities by keeping abreast with financial products available in the market.Review bank reconciliation for Plus Xnergy Group of Companies.Record treasury-related transactions and prepare daily transaction reports.Prepare telegraphic transfer/payments instruction for companies.Deliver additional assignments by manager.",PLUS SOLAR SYSTEMS SDN BHD,
15,Accounting and Finance,https://www.jobstreet.com.my/en/job/accounts-executive-4779691?jobId=jobstreet-my-job-4779691&sectionRank=3&token=0~91c2a521-4c26-403d-9c18-db2b8e4cde9e&fr=SRP%20Job%20Listing,Account Executive ,"Job Description:- Prepare daily cash flow.- Update daily Trade Facilities.- To schedule and plan for local suppliers payment thru bank facility.- Prepare payment to the supplier (prepare facility draft, remittance documents and submit to the bank (BA, TT)- Prepare documents for facility drawdown as when required.- Handling supplier (in BA) enquires.- Reconcile supplier aging & statement.- Create a new supplier code into the system.- Check & post the invoices key in by assistant.- Check sub-con payment prepared by assistant.- Reconcile Intercompany accounts ).- Update exchange rate every Monday at excel folder and syteline system.- Follow up shipment matter, ie LC, BA payment and etc.- Other tasks assigned by HOD.",North West Enterprise Sdn Bhd,
16,Accounting and Finance,https://www.jobstreet.com.my/en/job/junior-account-executive-4778848?jobId=jobstreet-my-job-4778848&sectionRank=1&token=0~78ef4389-8b42-4f00-a874-9389900126b9&fr=SRP%20Job%20Listing, Junior Account Executive ,"Job Description:You will play an important role by assisting Senior Account Executive,such as: Handle full set of Accounting together( by using SQL Accounting software ).To prepare monthly payroll and ensure all documentations are complying statutory requirements (including EPF, SOCSO and EIS and PCB).Performing basic office tasks, such as filling, data entry, answering phones, processing the mail, etc.Handling communications with clients and vendors via phone, email, and in-person.Follow up on customer overdue payments and credit control.Handle Bank Reconciliation.Ability to meet account deadlines.Preparing financial reports.Assisting with audits, fact checks and resolving discrepancies.Liaise with Auditors ,Tax Agent, Bankers.Prepare tax computation and submission.Prepare year end closing management account for audit purpose.",LEGION EXTRUDER SDN BHD,
17,Accounting and Finance,https://www.jobstreet.com.my/en/job/senior-accounts-executive-4780211?jobId=jobstreet-my-job-4780211&sectionRank=2&token=0~94d58f0e-ef0b-4c9c-9393-46acaadad84c&fr=SRP%20Job%20Listing,Senior Account Executive ,"Responsibilities:Able to handle full set of accounts independently.Able to prepare payroll and reconciliation.Liaise with internal and external party.Ensure timely completion of monthly, quarterly and annual management accounts.Any other job responsibilities as and when assigned by the Management.",EUROGAIN HOLDINGS SDN. BHD.,
18,Accounting and Finance,https://www.jobstreet.com.my/en/job/human-resources-manager-4805690?jobId=jobstreet-my-job-4805690&sectionRank=1&token=0~682d6924-f411-4940-8256-a20de3df5563&fr=SRP%20Job%20Listing,Account Executive,Responsibilities:Ensure timely preparation of financial reports.To liaise with branches & associate companies on all accounting related matters.Responsible in handling multi company full set of accounts.Maintain orderly accounting records and filling system.Assist in financial accounting and reporting.Monthly cash flow monitoring and management.Supervision and close monitoring of credit control and collection process.Perform any other duties / assignments as assigned by the supervisor.Contacting a range of suppliers to obtain quotation and issuing purchase order.,NEPHROCARE GLOBAL (M) SDN BHD,
19,Accounting and Finance,https://www.jobstreet.com.my/en/job/group-accountant-4779605?jobId=jobstreet-my-job-4779605&sectionRank=4&token=0~78409817-20f3-4e68-a59c-de2e7a091a61&fr=SRP%20Job%20Listing,Group Accountant ,"Roles and Responsibilities: Perform monthly consolidation, budget and forecast consolidation, analysis and management reports.Responsible for annual audited account and quarterly Bursa Malaysia reporting.Responsible for annual statutory audit process, i.e. liaise with external auditors during interim and annual audit.Responsible for the Group banking access and authorization.Monthly monitoring of the status of banking lines utilization and assist on the exercise of renewal/expansion of banking facilities including liaising with external bankers.Advise and support for subsidiaries’ accounting and auditing matters, ensuring compliance with Group's accounting policies and procedures.Identify and improvement of processes with guidance to subordinates.Contribute to continuous improvement of processes (i.e. financial reporting controls and procedures, etc.)Involve in undertaking and managing special projects and other reporting needs as and when required.",SAM Engineering & Equipment (M) Bhd,
20,Accounting and Finance,https://www.jobstreet.com.my/en/job/accounts-executive-gl-4780199?jobId=jobstreet-my-job-4780199&sectionRank=2&token=0~042d778b-3823-4b07-9ce4-86126775e39e&fr=SRP%20Job%20Listing,Account Executive ,Key Responsibilities: Perform month-end account closing activities.Prepare journal entries of financial data into accounting system.Perform Balance Sheet reconciliations and audit schedules.Maintain proper documentations and filing to support accounting records.Assist in preparing ad-hoc analysis and reports.,Berjaya Starbucks Coffee Company Sdn Bhd,
21,Accounting and Finance,https://www.jobstreet.com.my/en/job/accounts-executive-4780063?jobId=jobstreet-my-job-4780063&sectionRank=3&token=0~11c125df-9848-4bfb-bce7-ecebcd81098a&fr=SRP%20Job%20Listing,Account Executive ,"Job Duties & Responsibilities: Prepare and send daily trackers for all business lines Manage the closing of full set of accounts.Consolidate and send weekly forecast for all business lines Prepare the daily /weekly/ monthly reporting deck for regional/ Group reviewWork with business operations, and other key stakeholders to generate reporting outputHelp drive key insights and analytics Assist in developing finance and business presentations, related supporting materials Support with other accounting and reporting matters",ITS Testing Services (M) Sdn Bhd,
22,Accounting and Finance,https://www.jobstreet.com.my/en/job/accounting-executive-kuala-lumpur-4778952?jobId=jobstreet-my-job-4778952&sectionRank=4&token=0~46a55de5-210a-4699-bec7-83565df2b640&fr=SRP%20Job%20Listing,Accounting Executive-Kuala Lumpur,"Responsibilities: Assist in business administration and operations.Coordinate/communicate with clients & vendors for reporting tallying check & business-related matter.Preparation of weekly, monthly reporting package, reconciliation & analysis.Timely submission for all weekly, monthly reporting to clients.Keep Tracking & documented client's details and related information.To undertake other related jobs from time to time directed by superior.",Zenda IT Technology Sdn Bhd,
23,Accounting and Finance,https://www.jobstreet.com.my/en/job/junior-accounts-executive-4779357?jobId=jobstreet-my-job-4779357&sectionRank=1&token=0~92907f18-c800-41b8-83f6-0ccaa5e4bdc6&fr=SRP%20Job%20Listing,Junior Accounts Executive ,"Tasks:Process GL month and activitiesHandle the entire transaction cycle of AR and APMaintain and update costing related mattersPerform accounts reconciliations and follow up on outstanding mattersHandle invoices discrepancies and disputes Process invoices accurately and completelyChecks and compiles reports and reconciliation schedulesMeeting datelines and complete within agreed timelinesPerform daily duties in compliance with the predefined processes and work flowProcess the accounting transactions according to the established procedures, policies, legal and statutory requirementsLiaises with supports personnel and external parties (e.g. auditors) to resolves queries / problems when necessary",IKA Works (Asia) Sdn Bhd,
24,Accounting and Finance,https://www.jobstreet.com.my/en/job/credit-control-executive-4779302?jobId=jobstreet-my-job-4779302&sectionRank=2&token=0~88ad8ce6-eae1-467a-b14f-e743f0300715&fr=SRP%20Job%20Listing,Credit Control – Executive ,JOB DESCRIPTION: Assisting in updating all the report task assigned from time to time.Timely and effective collection of all debts and customers payments.Resolving queries both internal and externally around outstanding invoices.Previous credit control experience would be an advantage.,Inovar Contracts Sdn Bhd,
25,Accounting and Finance,https://www.jobstreet.com.my/en/job/finance-executive-4804186?jobId=jobstreet-my-job-4804186&sectionRank=1&token=0~06ba9919-3d8c-4b41-be2f-160e3f595325&fr=SRP%20Job%20Listing,Finance Executive ,"Job Description:Handling full set of accounts in compliance with the reporting standards (including AR/AP/GL/Cash & Bank/BS/P&L).Account Receivables functions:Responsible for billing, issuance of Sales Invoices, Delivery Order.Responsible for collections, sending SOA and follow up with customers.Liaise with customers directly for any finance related matters.Prepare weekly/ fortnightly report on sales and collection.Account Payables functions:Responsible for vendors invoices data entryResponsible for payments – online banking and cheques issuance.Responsible to check and post staff claims & petty cash claims.Liaise with vendors directly for any finance related matters.Prepare weekly cash flow & bank reconciliation.Handle banking matters when necessary.Ensure accounting transactions are correctly and accurately posted in SQL Accounting system.Liaise and coordinate with sales teams / logistic team on all matters related to Finance and accounting processes.Administrative works when necessaryLiaise with auditors.100% flexible to reorganise their priority based on the situationAny other ad-hoc jobs as assigned",KJ TECHNICAL SERVICES SDN BHD,
26,Accounting and Finance,https://www.jobstreet.com.my/en/job/finance-executive-4780229?jobId=jobstreet-my-job-4780229&sectionRank=1&token=0~bb92c728-4e10-4265-8da7-345e2461a780&fr=SRP%20Job%20Listing,Finance Executive,"Job Purpose:Assist in billing preparation for school and activity fees.Responsible for collection of all fees and manage refunds.Perform daily reconciliation rate and prepare collection report.Follow up on outstanding collection.Responsible as the Parents Relations Officer for the Finance Department.Perform revenue reconciliation as part of the month-end process.Assist in month-end process, general ledger, account receivables and account payables.Any other relevant duties assigned within the Finance Department from time to time.",GEMS INTERNATIONAL SCHOOL TROPICANA METROPARK (GIM),
27,Accounting and Finance,https://www.jobstreet.com.my/en/job/accounts-executive-4777780?jobId=jobstreet-my-job-4777780&sectionRank=5&token=0~4ab5d50a-5c45-4397-b4cc-cdb8d43afd20&fr=SRP%20Job%20Listing,Accounts Executive ,"Job Purpose:Assist in billing preparation for school and activity fees.Responsible for collection of all fees and manage refunds.Perform daily reconciliation rate and prepare collection report.Follow up on outstanding collection.Responsible as the Parents Relations Officer for the Finance Department.Perform revenue reconciliation as part of the month-end process.Assist in month-end process, general ledger, account receivables and account payables.Any other relevant duties assigned within the Finance Department from time to time.",The Swatch Group (Malaysia) Sdn Bhd,
28,Accounting and Finance,https://www.jobstreet.com.my/en/job/senior-account-executive-4777690?jobId=jobstreet-my-job-4777690&sectionRank=6&token=0~211edf38-7590-4dfd-acc6-3385bafc2865&fr=SRP%20Job%20Listing,Senior Account Executive,"You will play an important role, such as:Cash flow management, expenditures control and daily accounts.Prepare and complete of full set account monthly, quarterly and yearly financials (P&L, Management Account, AR, AP, BS, Income statement and Cash flow statement) timely manner.Prepare monthly financial reports for management.Follow up and follow-through payments receivables to ensure timely collections.Compile and analyse financial information to prepare entries to accounts such as general ledger accounts and document business transaction.To perform reconciliations such as Bank Reconciliation, Inter-company Reconciliation and reconciliations of any assigned clearing accountsTo assist in treasury operations, e.g. cash management, drawdown & repayment of loan and bank account management.Liaise with external auditor and tax consultants to ensure appropriate monitoring of company accounts/ taxes/ finances is maintained.To ensure all documents received are checked, validated and matched accordingly and maintain proper filling of documents.Other ad-hoc duties assigned by management from time to time.",PURETECH GLOBAL SDN BHD,
29,Accounting and Finance,https://www.jobstreet.com.my/en/job/account-executive-4778641?jobId=jobstreet-my-job-4778641&sectionRank=1&token=0~cecb7308-16e9-4050-a24d-fa728d164ab9&fr=SRP%20Job%20Listing,Account Executive ,RESPONSIBILITIES: THE SUCCESSFUL CANDIDATE IS RESPONSIBLE TO DO FULL SETS OF ACCOUNTS.,KTAC & Associates Sdn. Bhd.,
30,Accounting and Finance,https://www.jobstreet.com.my/en/job/senior-executive-executive-group-finance-4779213?jobId=jobstreet-my-job-4779213&sectionRank=2&token=0~1b84e03e-39ba-4233-a2bd-8ecc66d5b38f&fr=SRP%20Job%20Listing,"Senior Executive/Executive, Group Finance ","Job Description:To handle full set of accounts and perform month end closing in a timely manner.To handle accounts payable, accounts receivable which include preparing monthly bank reconciliation.To maintain journal entries, analysis and inter-company accounts.To ensure a proper maintenance of documentation and filling to support all accounting entries.To ensure accuracy, completeness, timeliness and data integrity of all financial data.To liaise with external parties on auditing, tax, secretarial matters, bankers, suppliers & etc.To liaise with government agencies for taxes and reporting.To undertake related tasks assigned by superior(s) from time to time.",DutaLand Berhad,
31,Accounting and Finance,https://www.jobstreet.com.my/en/job/accounts-executive-4778835?jobId=jobstreet-my-job-4778835&sectionRank=3&token=0~fbec494f-7822-4aa9-abf0-ecfd2fc50be5&fr=SRP%20Job%20Listing,Account Executive ,"Responsibilities:To handle full set of accounts.To prepare management accounts and reports (including tax computation, reporting package, cash flow statement, GST returns and related schedules).To liaise with external parties such as auditors, tax agents, bankers, government bodies, suppliers as well as internal clients/other departments of the berjaya Group of Companies.To prepare profit and cash flow forecasts and projections.To prepare statutory financial reports.To analyze financial information using Excel to calculate various ratios, percentages, averages.In charge of petty cash and petty cash record.To perform any other ad hoc duties.",Berjaya Corporation Berhad,
32,Accounting and Finance,https://www.jobstreet.com.my/en/job/accountant-accounts-executive-4778006?jobId=jobstreet-my-job-4778006&sectionRank=1&token=0~69500737-5dd2-45b0-8b8b-54d55e79f8bd&fr=SRP%20Job%20Listing,Accountant/Accounts Executive ,"Responsibility: Manage and handle a portfolio of companies.Prepare annual financial statement.Perform monthly inter-company, bank and accounts reconciliations.Participate in projects related to accounting, audit and taxation.Ensure compliant to the Singapore Financial Reporting Requirements.",TSS GLOBAL ADVISORY SDN BHD,
33,Accounting and Finance,https://www.jobstreet.com.my/en/job/sales-marketing-supervisor-4765545?jobId=jobstreet-my-job-4765545&sectionRank=2&token=0~a3752650-f09c-4ada-a9ea-2b89741367ef&fr=SRP%20Job%20Listing,Sales& Marketing Supervisor,"JOB RESPONSIBILITIES:Handling all aspects of corporate finance issues pertaining to listed companies of the Group including planning, facilating and completing all corporate excercise such as acquisition/disposal, restructuring and etc.Preparation of financial information and full set of consolidated accounts and financial report such as Management report, quarterly report, financial year end report and annual report.Preparation of annoucements, circulars, submissions and offering documents for the Corporate Finance transactions.Preparation of presentation to board of directors and shareholders as required.Ensure that the Company's statutory obligations with Bursa Securities, the Securities Commission and other regulatory bodies are met.",Eonmetall Group Bhd,
34,Accounting and Finance,https://www.jobstreet.com.my/en/job/account-cum-admin-executive-4779519?jobId=jobstreet-my-job-4779519&sectionRank=1&token=0~5c3b99fb-8171-4cd4-aca4-472d105de213&fr=SRP%20Job%20Listing,Account Cum Admin Excutive ,"Job Description:-Able to handle full set of accounts include day-to-day accounting functions, account receivables, account payable, fixed assets and general ledgers & journal.Assist in issue of Sales Invoices, Purchase Order & key in Supplier Invoice.Prepare payments to all trade & non trade suppliers.Prepare monthly bank reconciliations.Handle & check on staff claims & director’s claims.Assist in preparation of payroll function.Handle submission of SST (service tax), EPF, Socso & Eis, PCB & CP204.Maintain proper filing of account documents for record keeping.Assist in year-end closing and prepare relevant accounting reports.Liaised with banker, secretary & auditor for all company matters.Assist with any other related tasks as and when required by management.",Datapro Technologies (M) Sdn Bhd,
35,Accounting and Finance,https://www.jobstreet.com.my/en/job/account-executive-4778166?jobId=jobstreet-my-job-4778166&sectionRank=2&token=0~cc6f573c-ae50-4578-98a3-49dc327e0ff0&fr=SRP%20Job%20Listing,Accounts Executive,"Job Responsibilities: Prepare, compile and analyze account information of a company’s assets, liabilities, incomes and expenses account entries.Enter account and financial transactions according to verified documents.Reconcile financial discrepancies by collecting and analyzing account information.Secure financial information by completing data base backups.Update client on all relevant submission before due date such as audit, tax submission and etc.",WEZMART INTERNATIONAL BERHAD,
36,Accounting and Finance,https://www.jobstreet.com.my/en/job/accountant-4779160?jobId=jobstreet-my-job-4779160&sectionRank=4&token=0~bcccd7bd-9430-491d-9d72-7b94a6eec047&fr=SRP%20Job%20Listing,Accountant ,"Job responsibility: Oversee accounting, financial reporting, analysis and preparation of the consolidated financial statements, including schedules for tax compliance.Present financial reporting and potential risk areas to senior management.Improving Efficiencies and reducing costs across the business. Working closely with management or executive teams to share reports and analysis findings.Assures timely responses to internal and external audit recommendations. Assures that corrective action plans are developed and implemented where needed.Ensure policies and procedures are in compliance with professional standards, state and federal regulatory requirements.Liaison and engagement with auditors, tax agents, bankers, lawyers, Company Secretary and other relevant professional parties form by daily basic after verify.",INTRETECH (MALAYSIA) SDN. BHD.),
